id_n,Year,newloss1,newloss2,newloss3,newloss4,newloss5
1,2022,0,44148557,0,0,0
2,2022,457992152.8,1243724879,849495778,476577687,409299148
3,2022,19591094.75,15214897,0,0,0
4,2022,0,26702965,4682727,0,0
5,2022,0,0,0,0,0
6,2022,10896310,11645570,17462494,14391690,12331136
7,2022,18316071.25,0,0,0,0
8,2022,40864041.16,40321329,38715402,0,0
9,2022,0,0,0,0,0
10,2022,211306881.2,22973018,245390064,184151488,0
11,2022,206722550.8,0,0,0,0
12,2022,0,13227206,30565810.88,0,0
13,2022,284044222.8,225798066,18911993,0,0
14,2022,200458691.3,524476205,886993760,411582961,361742764
15,2022,17975746.1,38735954,52093734,49134913,62185484
16,2022,4257444,22189493,25672800,24865750,0
17,2022,1177256.15,1226274,1231703,4390342,0
18,2022,28286273.75,0,0,0,0
19,2022,33497348.35,17445000,18750000,0,0
20,2022,6627106.9,0,0,0,0
21,2022,0,0,0,0,0
22,2022,230400691,344504407,336043867,169383730,0
23,2022,0,0,0,0,0
24,2022,0,0,0,0,0
25,2022,23060140.4,23092200,23011000,18212700,12911300
26,2022,3638541089,0,0,0,0
27,2022,68380512.65,34136006,0,0,0
28,2022,21316292.12,1689569,21051214,0,32972756
29,2022,0,5008011,74904013,0,0
30,2022,2047250,0,0,0,0
31,2022,0,0,0,0,0
32,2022,945149529.6,711227903,68897806,106248893,127379640
33,2022,35821961.52,19246839,79233436,15900801,0
34,2022,25868472.41,275941659,0,0,0
35,2022,17461759.05,0,0,0,0
36,2022,8138887.5,8520600,8545050,1200000,6053800
37,2022,0,0,0,0,0
38,2022,230637152.5,0,0,0,0
39,2022,47036982.35,34185807,0,0,0
40,2022,0,0,0,0,0
41,2022,7547572.882,9160588,7915703,0,0
42,2022,55474193.13,92963760,0,0,0
43,2022,91356817.07,0,0,0,0
44,2022,381549747,0,0,0,0
45,2022,12936129.1,0,0,0,0
46,2022,0,0,0,0,0
47,2022,22135000,23165800,23212000,8107150,0
48,2022,16661499,17261520,4695774,0,0
49,2022,0,0,0,0,0
50,2022,45513941.3,49807339,29063325,0,0
51,2022,0,0,0,0,0
52,2022,0,0,0,0,0
53,2022,536278264.4,0,0,0,0
54,2022,4806286.55,0,0,0,0
55,2022,575552278.8,0,0,0,0
56,2022,0,0,0,0,0
57,2022,0,2829499165,0,230410563.5,0
58,2022,0,12816223.78,0,0,0
59,2022,131238411.2,0,0,0,0
60,2022,30146067.57,21148666,82667664,95059300,506965700
61,2022,0,0,0,0,0
62,2022,1537147.5,0,0,0,0
63,2022,81801897.95,118797083,254165714,0,0
64,2022,147544966.6,328339835,0,0,0
65,2022,25983229.6,0,768408472,980039932,0
66,2022,0,282320471,0,364856643.8,0
67,2022,0,0,0,0,0
68,2022,0,0,0,0,0
69,2022,17879136.8,38146580,49215664,0,0
70,2022,0,0,0,0,0
71,2022,5804866172,0,0,0,0
72,2022,0,0,0,0,0
73,2022,5914440.65,0,0,0,0
74,2022,117082693,96249154,0,0,0
75,2022,5554163.961,225896068,199570151,662550151,316552266
76,2022,9538057,9986520,10005740,8345000,17553211
77,2022,0,0,0,0,0
78,2022,18869318,19748960,19971142,6674200,0
79,2022,0,0,0,0,0
80,2022,0,0,0,0,0
81,2022,2227938.1,0,0,0,0
82,2022,0,3000661046,1275049380,0,0
83,2022,6826324.75,11068202,29888222,4153300,0
84,2022,16896050.2,0,0,0,0
85,2022,3520035,0,0,0,0
86,2022,0,0,0,0,0
87,2022,0,0,0,0,0
88,2022,16737932.2,0,0,0,0
89,2022,0,0,0,0,0
90,2022,22756469.78,24533920,33155471,0,0
91,2022,0,279244881.8,0,0,0
92,2022,0,0,0,0,0
93,2022,193294337.5,49770028,0,0,0
94,2022,0,461958682,325695694,319651587,207094931
95,2022,71465369.53,0,0,0,0
96,2022,0,225428637,970686783.3,0,0
97,2022,430151475,195243702,202818815,279237354,314257045
98,2022,0,0,0,0,0
99,2022,52022127.3,55934513,86126504,83707310,0
100,2022,5833380,6088800,6079200,6062400,6054000
101,2022,909883.9795,0,0,0,0
102,2022,0,0,0,0,0
103,2022,8771825,0,0,0,0
104,2022,85031528.05,0,0,0,0
105,2022,20598059.6,0,0,0,0
106,2022,16426830,0,0,0,0
107,2022,0,0,0,0,0
108,2022,8133710,8522200,39013050,26642658,15361900
109,2022,1173345,47692569,71134321,25385500,0
110,2022,5845350,6120000,6095500,6062600,6053800
111,2022,43889946.99,193199428,207577282,0,0
112,2022,0,0,0,0,0
113,2022,0,162023344,0,0,0
114,2022,0,0,0,1427086,137834
115,2022,283207187.3,131733890,0,0,0
116,2022,14283519.8,14002338,13902665,13906464,13368725
117,2022,19082842.85,38110640,34464197,76415683,0
118,2022,28170667.99,0,29845317,0,0
119,2022,12970325.3,62274047,3680950,0,0
120,2022,0,0,0,0,33390391
121,2022,10508324.3,25142116,0,0,0
122,2022,3547805.4,6412354,6150782,176610,1463580
123,2022,0,0,0,0,0
124,2022,0,0,0,44095809,2596910.13
125,2022,0,0,0,0,0
126,2022,1293052916,1013192187,1145166072,0,0
127,2022,66314917.2,30928790,0,0,0
128,2022,0,208428444,148590197,0,701122781.7
129,2022,3420000,3600000,3600000,3600000,3600000
130,2022,8331131.485,8748448,8723942,8803869,8988500
131,2022,45188035.4,0,121596511,487630656,89818299
132,2022,43415466.25,2533052,63041952,125925193,0
133,2022,1140000,600000,0,0,0
134,2022,341396104.6,0,0,0,0
135,2022,305412225.4,135288623,1200000,1200000,1200000
136,2022,0,0,0,0,0
137,2022,2442605583,377869641,120109661,0,0
138,2022,33839894.9,1000000,0,0,0
139,2022,18502937.98,24151922,29784842,0,0
140,2022,79787460,0,0,0,0
